Serial,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
4,84,8,627,3/18/2020,1,0,0,8,ICT,3,0
5,129,26,133,3/18/2020,0,0,0,17,Punjab,26,0
6,151,172,606,3/18/2020,3,0,0,11,Sindh,169,0
7,58,17,42,3/18/2020,0,0,0,6,KP,17,0
8,6,0,0,3/18/2020,0,0,0,1,KPTD,0,0
9,134,15,151,3/18/2020,0,0,0,79,Balochistan,15,0
10,21,0,11,3/18/2020,0,0,0,1,AJK,0,0
11,29,3,51,3/18/2020,0,0,0,4,GB,5,0
4,103,5,184,3/19/2020,2,0,0,19,ICT,3,0
5,158,33,254,3/19/2020,0,0,0,29,Punjab,33,0
6,173,208,908,3/19/2020,3,0,0,22,Sindh,205,0
7,72,19,67,3/19/2020,0,2,0,18,KP,17,0
8,7,0,0,3/19/2020,0,0,0,1,KPTD,0,0
9,134,23,637,3/19/2020,0,0,0,0,Balochistan,23,0
11,23,1,23,3/19/2020,0,0,0,2,AJK,1,0
12,64,13,90,3/19/2020,0,0,0,35,GB,11,0
4,137,10,277,3/20/2020,2,0,0,34,ICT,8,0
5,182,80,872,3/20/2020,0,0,0,24,Punjab,80,0
6,182,245,1210,3/20/2020,3,0,0,9,Sindh,242,0
7,94,23,67,3/20/2020,0,2,0,22,KP,21,0
8,19,0,0,3/20/2020,0,0,0,12,KPTD,0,0
9,650,81,805,3/20/2020,0,0,0,364,Balochistan,81,0
10,36,1,36,3/20/2020,0,0,0,13,AJK,1,0
11,64,21,143,3/20/2020,0,0,0,0,GB,21,0
4,171,11,325,3/21/2020,2,0,0,34,ICT,9,0
5,196,96,894,3/21/2020,0,0,0,14,Punjab,96,0
6,210,253,1497,3/21/2020,3,1,0,28,Sindh,249,0
7,130,23,130,3/21/2020,0,2,0,31,KP,21,0
8,21,0,0,3/21/2020,0,0,0,2,KPTD,0,0
9,698,81,805,3/21/2020,0,0,0,47,Balochistan,81,0
10,40,1,40,3/21/2020,0,0,0,4,AJK,1,0
11,310,30,310,3/21/2020,0,0,0,220,GB,30,0
4,188,11,366,3/22/2020,2,0,0,17,ICT,9,0
5,246,152,1361,3/22/2020,0,0,0,50,Punjab,152,0
6,232,396,1497,3/22/2020,3,1,0,22,Sindh,392,0
7,155,31,264,3/22/2020,0,2,0,25,KP,29,0
8,21,0,0,3/22/2020,0,0,0,0,KPTD,0,0
9,1380,104,1380,3/22/2020,0,0,0,593,Balochistan,104,0
10,42,1,42,3/22/2020,0,0,0,2,AJK,1,0
11,310,55,315,3/22/2020,0,0,0,0,GB,55,0
4,198,15,404,3/23/2020,2,0,0,10,ICT,13,0
5,257,225,1436,3/23/2020,0,0,0,11,Punjab,225,0
6,232,333,1512,3/23/2020,4,1,0,0,Sindh,328,0
8,196,31,305,3/23/2020,0,3,0,41,KP,28,0
9,1405,108,1405,3/23/2020,0,1,0,25,Balochistan,107,0
10,44,1,44,3/23/2020,0,0,0,2,AJK,1,0
11,310,71,338,3/23/2020,0,0,0,0,GB,71,0
5,226,15,427,3/24/2020,2,0,0,28,ICT,13,0
6,257,249,1436,3/24/2020,0,0,0,0,Punjab,249,0
8,232,394,1579,3/24/2020,4,1,0,0,Sindh,389,0
10,431,38,448,3/24/2020,0,3,0,235,KP,35,0
11,1407,110,1407,3/24/2020,0,1,0,2,Balochistan,109,0
12,60,1,60,3/24/2020,0,0,0,16,AJK,1,0
13,310,80,500,3/24/2020,0,1,0,0,GB,79,0
5,236,18,459,3/25/2020,2,0,0,10,ICT,16,0
6,257,296,1436,3/25/2020,2,1,0,0,Punjab,293,0
8,238,407,1579,3/25/2020,14,1,0,6,Sindh,392,0
9,538,78,566,3/25/2020,0,3,0,98,KP,75,0
10,1437,110,1437,3/25/2020,0,1,0,30,Balochistan,109,0
11,65,1,66,3/25/2020,0,0,0,5,AJK,1,0
12,347,81,580,3/25/2020,0,1,0,37,GB,80,0
5,255,25,561,3/26/2020,2,0,0,19,ICT,8,0
6,257,323,1436,3/26/2020,3,2,0,0,Punjab,318,0
8,295,413,1592,3/26/2020,14,1,0,37,Sindh,398,0
9,694,80,704,3/26/2020,2,3,0,138,KP,75,0
10,1437,131,1455,3/26/2020,0,1,0,0,Balochistan,130,0
12,77,1,77,3/26/2020,0,0,0,12,AJK,1,0
13,347,84,624,3/26/2020,0,1,0,0,GB,83,0
5,712,25,712,3/27/2020,2,0,0,151,ICT,12,0
6,1298,408,2257,3/27/2020,3,3,0,741,Punjab,402,0
7,4456,417,1592,3/27/2020,14,1,0,416,Sindh,402,0
8,704,123,917,3/27/2020,2,3,0,10,KP,118,0
9,1494,131,1512,3/27/2020,0,1,0,57,Balochistan,130,0
10,83,2,83,3/27/2020,0,0,0,6,AJK,2,0
11,777,91,762,3/27/2020,2,1,0,430,GB,88,0
5,910,39,1056,3/28/2020,2,0,0,198,ICT,8,0
6,3339,490,3310,3/28/2020,4,5,0,210,Punjab,237,0
7,4807,457,5158,3/28/2020,14,1,0,351,Sindh,294,0
8,820,180,1121,3/28/2020,2,3,0,104,KP,50,0
9,1494,133,1657,3/28/2020,2,1,0,22,Balochistan,122,0
10,90,2,97,3/28/2020,0,0,0,7,AJK,2,0
11,787,107,832,3/28/2020,3,1,0,45,GB,12,0
5,1067,43,1213,3/29/2020,2,0,30,157,ICT,11,0
6,3521,558,3492,3/29/2020,4,5,302,182,Punjab,247,0
7,5322,481,5673,3/29/2020,14,2,171,515,Sindh,294,0
8,928,188,1229,3/29/2020,2,4,122,108,KP,60,0
9,1601,138,1737,3/29/2020,2,1,5,136,Balochistan,130,0
10,97,2,97,3/29/2020,0,0,0,7,AJK,2,0
11,788,116,895,3/29/2020,4,1,99,1,GB,12,0
7,1200,51,1310,3/30/2020,3,0,35,133,ICT,13,0
8,3616,593,3492,3/30/2020,5,6,329,95,Punjab,253,0
9,5945,508,5945,3/30/2020,16,5,181,623,Sindh,306,0
10,1022,195,1324,3/30/2020,2,5,128,94,KP,60,0
11,1695,144,1710,3/30/2020,2,1,8,94,Balochistan,133,0
12,105,6,105,3/30/2020,0,0,0,8,AJK,6,0
13,862,128,862,3/30/2020,4,1,111,74,GB,12,0
5,1395,58,1469,3/31/2020,3,0,39,195,ICT,16,0
6,3770,652,2500,3/31/2020,5,9,335,154,Punjab,303,0
7,6328,627,6328,3/31/2020,42,7,263,383,Sindh,315,0
8,1334,221,1512,3/31/2020,2,6,143,312,KP,70,0
9,1825,153,1792,3/31/2020,2,1,11,130,Balochistan,139,0
10,177,6,177,3/31/2020,0,0,0,72,AJK,6,0
12,880,148,880,3/31/2020,4,2,130,18,GB,12,0
6,1703,54,1703,4/1/2020,3,0,35,122,ICT,16,0
7,4462,708,2720,4/1/2020,5,9,337,692,Punjab,357,0
8,6578,676,6578,4/1/2020,51,8,232,250,Sindh,385,0
9,1524,253,1271,4/1/2020,2,6,171,190,KP,74,0
10,1934,158,1934,4/1/2020,17,1,16,109,Balochistan,124,0
11,239,6,239,4/1/2020,0,0,0,62,AJK,6,0
13,891,184,750,4/1/2020,4,2,166,11,GB,12,0
6,1997,62,1997,4/2/2020,3,0,44,294,ICT,15,0
7,5086,845,2945,4/2/2020,6,11,444,624,Punjab,384,0
8,6926,743,6926,4/2/2020,58,9,289,348,Sindh,387,0
9,1814,276,1814,4/2/2020,19,8,165,290,KP,84,0
10,2049,169,2049,4/2/2020,17,1,26,115,Balochistan,125,0
11,249,9,249,4/2/2020,0,0,0,10,AJK,9,0
13,894,187,797,4/2/2020,4,2,169,3,GB,12,0
6,2395,68,2395,4/3/2020,3,0,47,398,ICT,18,0
7,5522,920,15134,4/3/2020,6,11,447,436,Punjab,456,0
8,7504,783,7504,4/3/2020,65,11,297,578,Sindh,410,0
9,1938,311,1938,4/3/2020,30,9,180,124,KP,92,0
10,2171,169,2171,4/3/2020,17,1,26,122,Balochistan,125,0
11,322,9,322,4/3/2020,0,0,0,73,AJK,9,0
13,961,190,844,4/3/2020,5,3,170,67,GB,12,0
6,343,11,343,4/4/2020,0,0,0,21,AJK,11,21
7,2401,175,2401,4/4/2020,17,1,25,230,Balochistan,132,0
8,963,193,860,4/4/2020,9,3,169,2,GB,12,844
9,2569,75,2569,4/4/2020,3,0,58,174,ICT,14,174
10,2369,343,1624,4/4/2020,30,11,210,431,KP,92,181
11,5456,1072,16508,4/4/2020,6,11,549,334,Punjab,506,1087
13,8625,839,8625,4/4/2020,65,14,369,1121,Sindh,391,1121
6,385,12,385,4/5/2020,1,0,0,42,AJK,11,42
7,2513,185,2513,4/5/2020,17,1,34,132,Balochistan,133,132
8,1058,206,975,4/5/2020,9,3,182,95,GB,12,116
9,2744,78,2744,4/5/2020,3,0,65,175,ICT,10,175
10,2548,372,1769,4/5/2020,30,14,233,179,KP,95,147
11,7859,1163,17653,4/5/2020,25,12,600,2403,Punjab,526,1145
13,8846,864,8846,4/5/2020,85,15,374,221,Sindh,390,221
6,400,15,400,4/6/2020,1,0,0,15,AJK,14,15
7,3504,191,2777,4/6/2020,30,1,48,419,Balochistan,112,264
8,1062,210,998,4/6/2020,13,3,182,4,GB,12,23
9,2871,82,2871,4/6/2020,3,0,68,127,ICT,11,127
10,2882,405,1974,4/6/2020,62,16,207,334,KP,120,205
11,8682,1493,17724,4/6/2020,25,15,800,823,Punjab,653,1014
13,9131,881,9131,4/6/2020,123,15,380,285,Sindh,363,285
6,484,18,484,4/7/2020,1,0,0,84,AJK,17,84
7,3456,202,2998,4/7/2020,63,1,51,371,Balochistan,87,221
8,1111,211,1015,4/7/2020,15,3,179,49,GB,14,17
9,2921,83,2921,4/7/2020,3,1,62,50,ICT,17,50
10,3016,500,2103,4/7/2020,69,17,276,134,KP,138,129
11,9386,1918,20073,4/7/2020,25,15,1127,704,Punjab,751,1929
13,9589,932,9589,4/7/2020,253,17,375,658,Sindh,287,658
6,534,19,534,4/8/2020,1,0,0,50,AJK,18,50
7,3549,206,3091,4/8/2020,75,2,52,93,Balochistan,77,93
8,1175,212,1127,4/8/2020,15,3,180,64,GB,14,112
9,3096,92,3096,4/8/2020,3,1,71,175,ICT,17,175
10,3068,527,2262,4/8/2020,70,18,242,52,KP,197,159
11,10347,2030,21826,4/8/2020,34,16,1267,961,Punjab,713,1853
13,10223,986,10223,4/8/2020,269,18,396,634,Sindh,303,634
6,581,28,581,4/9/2020,1,0,0,47,AJK,27,47
7,3709,212,3216,4/9/2020,76,2,57,160,Balochistan,77,125
8,1211,213,1143,4/9/2020,96,3,100,36,GB,14,16
9,3233,102,3233,4/9/2020,10,1,80,137,ICT,11,137
10,3322,560,2662,4/9/2020,74,20,298,254,KP,168,400
11,11741,2171,23080,4/9/2020,35,17,1367,1394,Punjab,752,1254
13,10981,1036,10981,4/9/2020,280,20,382,758,Sindh,354,758
6,631,33,631,4/10/2020,1,0,0,50,AJK,32,50
7,4009,219,3405,4/10/2020,89,1,59,300,Balochistan,70,189
8,1334,215,1266,4/10/2020,111,3,87,123,GB,14,123
9,3375,107,3375,4/10/2020,10,1,78,142,ICT,18,142
10,3687,620,2871,4/10/2020,128,22,269,365,KP,201,209
11,13720,2279,31535,4/10/2020,39,18,1477,1979,Punjab,745,1123
13,11623,1128,11623,4/10/2020,349,21,436,642,Sindh,322,642
6,745,34,745,4/11/2020,1,0,0,114,AJK,33,114
7,4109,220,3694,4/11/2020,95,1,56,100,Balochistan,68,289
8,1424,215,1334,4/11/2020,125,3,70,90,GB,17,68
9,3480,113,3480,4/11/2020,13,1,84,105,ICT,15,105
10,3768,656,3046,4/11/2020,131,25,299,81,KP,201,175
11,15850,2336,33328,4/11/2020,39,19,1514,2130,Punjab,764,1120
13,12209,1214,12209,4/11/2020,358,22,521,586,Sindh,313,586
6,813,35,813,4/12/2020,1,0,0,68,AJK,34,68
7,4099,228,3812,4/12/2020,95,2,70,83,Balochistan,62,118
8,1488,216,1408,4/12/2020,146,3,58,64,GB,9,74
9,3570,119,3570,4/12/2020,13,1,88,90,ICT,17,90
10,4232,697,3259,4/12/2020,142,31,314,464,KP,210,213
11,18520,2425,36199,4/12/2020,258,21,1381,2670,Punjab,765,1711
13,12740,1318,12740,4/12/2020,371,28,576,531,Sindh,343,531
6,910,40,910,4/13/2020,2,0,0,97,AJK,38,97
7,4222,230,3906,4/13/2020,123,2,65,123,Balochistan,40,94
8,1553,224,1476,4/13/2020,149,3,63,65,GB,9,68
9,3836,131,3836,4/13/2020,15,1,91,266,ICT,24,266
10,4305,744,3478,4/13/2020,145,34,354,73,KP,211,219
11,19395,2594,38199,4/13/2020,272,23,1467,875,Punjab,832,1920
13,13309,1411,13309,4/13/2020,389,30,645,569,Sindh,347,569
6,992,43,992,4/14/2020,4,0,0,82,AJK,39,82
7,4341,231,4012,4/14/2020,124,2,71,119,Balochistan,34,106
8,1644,233,1563,4/14/2020,155,3,66,91,GB,9,87
9,3947,131,3947,4/14/2020,15,1,96,111,ICT,19,111
10,4783,800,3793,4/14/2020,153,35,401,478,KP,211,315
11,21885,2826,41781,4/14/2020,508,24,1592,2490,Punjab,702,1925
13,13840,1452,13840,4/14/2020,419,31,648,531,Sindh,354,531
6,1029,46,1029,4/15/2020,4,0,0,37,AJK,42,37
7,4298,240,4100,4/15/2020,137,2,81,95,Balochistan,20,88
8,1742,234,1618,4/15/2020,175,3,51,98,GB,5,55
9,4473,140,4473,4/15/2020,17,1,106,120,ICT,16,120
10,5088,865,4151,4/15/2020,178,38,438,305,KP,211,358
11,24726,2945,43565,4/15/2020,508,28,1650,2841,Punjab,759,1959
13,14503,1518,14503,4/15/2020,427,35,613,663,Sindh,443,663
6,1081,46,1081,4/16/2020,9,0,0,52,AJK,37,52
7,4370,280,4299,4/16/2020,140,3,112,72,Balochistan,25,199
8,1839,237,1664,4/16/2020,178,3,51,97,GB,5,46
9,4824,145,4824,4/16/2020,17,1,110,351,ICT,17,351
10,5410,912,4524,4/16/2020,191,42,468,322,KP,211,373
11,27803,3217,46561,4/16/2020,550,34,1877,3077,Punjab,756,2996
13,16026,1668,16026,4/16/2020,560,41,748,1523,Sindh,319,1523
6,1135,46,1135,4/17/2020,9,0,0,54,AJK,37,54
7,4490,303,4427,4/17/2020,142,5,123,120,Balochistan,33,128
8,1932,245,1826,4/17/2020,183,3,54,93,GB,5,162
9,5150,154,5150,4/17/2020,20,1,111,326,ICT,22,326
10,5758,993,4885,4/17/2020,205,45,513,348,KP,230,361
11,29326,3276,48381,4/17/2020,630,36,1843,1523,Punjab,767,2359
13,18900,2008,18900,4/17/2020,576,45,1120,2874,Sindh,267,2874
6,1175,48,1175,4/18/2020,9,0,0,40,AJK,39,40
7,5025,335,4812,4/18/2020,142,5,148,535,Balochistan,40,385
8,2313,250,2021,4/18/2020,192,3,50,381,GB,5,217
9,5479,163,5479,4/18/2020,20,1,129,329,ICT,13,329
10,6140,1077,5311,4/18/2020,216,50,531,382,KP,280,426
11,31245,3391,52478,4/18/2020,672,37,1895,1919,Punjab,787,2647
13,21272,2217,21272,4/18/2020,581,47,872,2372,Sindh,717,2372
6,1229,48,1229,4/19/2020,9,0,0,54,AJK,39,54
7,5485,376,5085,4/19/2020,144,5,176,460,Balochistan,51,273
8,2429,257,2169,4/19/2020,193,3,56,116,GB,5,2021
9,5857,171,5857,4/19/2020,20,2,134,378,ICT,15,378
10,6531,1137,6003,4/19/2020,226,60,557,391,KP,294,692
11,33199,3649,55241,4/19/2020,684,41,1932,1954,Punjab,992,2763
13,22938,2355,22938,4/19/2020,592,48,951,1666,Sindh,764,1666
6,1275,49,1275,4/20/2020,10,0,0,46,AJK,39,46
7,5793,432,5315,4/20/2020,152,5,207,308,Balochistan,68,230
8,2657,263,2430,4/20/2020,194,3,62,228,GB,4,261
9,5976,181,5976,4/20/2020,20,3,142,119,ICT,16,119
10,7090,1235,6544,4/20/2020,267,67,605,559,KP,296,541
11,34084,3721,58304,4/20/2020,702,42,1975,885,Punjab,1002,2156
13,24458,2537,24458,4/20/2020,625,56,1065,1520,Sindh,791,1520
6,1355,50,1355,4/21/2020,16,0,0,80,AJK,34,80
7,6391,465,5636,4/21/2020,161,6,231,598,Balochistan,67,321
8,2827,281,2604,4/21/2020,195,3,79,170,GB,4,174
9,6224,185,6224,4/21/2020,20,3,148,248,ICT,14,248
10,8340,1276,9360,4/21/2020,297,74,577,755,KP,328,579
11,35890,4195,60649,4/21/2020,742,45,2257,1806,Punjab,1151,2345
13,26058,2764,26058,4/21/2020,635,61,1223,1600,Sindh,845,1600
6,1416,51,1416,4/22/2020,23,0,0,6,AJK,28,6
7,7650,552,6130,4/22/2020,168,8,294,619,Balochistan,82,329
8,3047,290,2859,4/22/2020,201,3,76,118,GB,10,141
9,6931,204,6931,4/22/2020,26,3,167,483,ICT,8,483
10,9828,1453,10837,4/22/2020,414,83,605,704,KP,351,1009
11,38965,4590,66030,4/22/2020,790,58,21452,1812,Punjab,1290,2635
13,30346,3373,30346,4/22/2020,715,69,1579,2097,Sindh,1010,2097
